county,topic,indicator,count,denom,unit,value,start_year,end_year,lat,lon
New York,Family Planning/Natality Indicators,Family Planning/Natality Indicators,7491,18663,Percentage,13.4,2012,2014,40.726966,-74.005966
New York City,Family Planning/Natality Indicators,Family Planning/Natality Indicators,56795,117301,Percentage,16.1,2012,2014,NA,NA
New York State,Family Planning/Natality Indicators,Family Planning/Natality Indicators,132869,237499,Percentage,18.6,2012,2014,NA,NA
Niagara,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1396,2164,Percentage,21.5,2012,2014,43.134634,-78.856419
North Country,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1954,2786,Percentage,23.4,2012,2014,NA,NA
Oneida,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1960,2584,Percentage,25.3,2012,2014,43.149482,-75.361773
Onondaga,Family Planning/Natality Indicators,Family Planning/Natality Indicators,3863,5280,Percentage,24.4,2012,2014,43.065629,-76.168033
Ontario,Family Planning/Natality Indicators,Family Planning/Natality Indicators,761,1052,Percentage,24.1,2012,2014,42.894571,-77.252045
Orange,Family Planning/Natality Indicators,Family Planning/Natality Indicators,3197,4775,Percentage,22.3,2012,2014,41.422459,-74.241929
Orleans,Family Planning/Natality Indicators,Family Planning/Natality Indicators,268,412,Percentage,21.7,2012,2014,43.248394,-78.218438
Oswego,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1022,1311,Percentage,26,2012,2014,43.39123,-76.31133
Otsego,Family Planning/Natality Indicators,Family Planning/Natality Indicators,407,531,Percentage,25.5,2012,2014,42.564852,-75.060334
Putnam,Family Planning/Natality Indicators,Family Planning/Natality Indicators,458,818,Percentage,18.7,2012,2014,41.41131,-73.717443
Queens,Family Planning/Natality Indicators,Family Planning/Natality Indicators,13727,30307,Percentage,15.1,2012,2014,40.749338,-73.789673
Rensselaer,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1048,1665,Percentage,21,2012,2014,42.70098,-73.628669
Richmond,Family Planning/Natality Indicators,Family Planning/Natality Indicators,3608,5298,Percentage,22.7,2012,2014,40.566763,-74.148102
Rockland,Family Planning/Natality Indicators,Family Planning/Natality Indicators,3667,4804,Percentage,25.4,2012,2014,41.127287,-74.017033
Saratoga,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1452,2227,Percentage,21.7,2012,2014,43.00894,-73.786779
Schenectady,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1133,1807,Percentage,20.9,2012,2014,42.809233,-73.946838
Schoharie,Family Planning/Natality Indicators,Family Planning/Natality Indicators,168,258,Percentage,21.7,2012,2014,42.643426,-74.434606
Schuyler,Family Planning/Natality Indicators,Family Planning/Natality Indicators,148,174,Percentage,28.4,2012,2014,42.38593,-76.872032
Seneca,Family Planning/Natality Indicators,Family Planning/Natality Indicators,290,377,Percentage,25.6,2012,2014,42.833627,-76.82753
Southern Tier,Family Planning/Natality Indicators,Family Planning/Natality Indicators,3287,4413,Percentage,24.8,2012,2014,NA,NA
St. Lawrence,Family Planning/Natality Indicators,Family Planning/Natality Indicators,997,1205,Percentage,27.6,2012,2014,44.689468,-75.242045
Steuben,Family Planning/Natality Indicators,Family Planning/Natality Indicators,880,1091,Percentage,26.9,2012,2014,42.270053,-77.324618
Suffolk,Family Planning/Natality Indicators,Family Planning/Natality Indicators,8826,15608,Percentage,18.8,2012,2014,40.820237,-73.119032
Sullivan,Family Planning/Natality Indicators,Family Planning/Natality Indicators,541,857,Percentage,21,2012,2014,41.705166,-74.711705
Tioga,Family Planning/Natality Indicators,Family Planning/Natality Indicators,365,509,Percentage,23.9,2012,2014,42.120252,-76.29595
Tompkins,Family Planning/Natality Indicators,Family Planning/Natality Indicators,586,884,Percentage,22.1,2012,2014,42.461024,-76.478784
Tug Hill Seaway,Family Planning/Natality Indicators,Family Planning/Natality Indicators,2814,3732,Percentage,25.1,2012,2014,NA,NA
Ulster,Family Planning/Natality Indicators,Family Planning/Natality Indicators,875,1564,Percentage,18.6,2012,2014,41.848374,-74.099412
Warren,Family Planning/Natality Indicators,Family Planning/Natality Indicators,415,586,Percentage,23.6,2012,2014,43.403024,-73.716044
Washington,Family Planning/Natality Indicators,Family Planning/Natality Indicators,429,605,Percentage,23.6,2012,2014,43.289513,-73.454761
Wayne,Family Planning/Natality Indicators,Family Planning/Natality Indicators,639,966,Percentage,22,2012,2014,43.144336,-77.117995
Westchester,Family Planning/Natality Indicators,Family Planning/Natality Indicators,4695,10546,Percentage,14.8,2012,2014,41.039278,-73.805386
Western NY,Family Planning/Natality Indicators,Family Planning/Natality Indicators,10576,16345,Percentage,21.6,2012,2014,NA,NA
Wyoming,Family Planning/Natality Indicators,Family Planning/Natality Indicators,267,384,Percentage,23.2,2012,2014,42.723641,-78.204473
Yates,Family Planning/Natality Indicators,Family Planning/Natality Indicators,271,305,Percentage,29.6,2012,2014,42.634338,-77.078311
Albany,Family Planning/Natality Indicators,Family Planning/Natality Indicators,13293,65724,Rate,67.4,2012,2014,42.678066,-73.814233
Allegany,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1736,9187,Rate,63,2012,2014,42.226801,-78.020567
Bronx,Family Planning/Natality Indicators,Family Planning/Natality Indicators,121474,322034,Rate,125.7,2012,2014,40.85589,-73.868294
Broome,Family Planning/Natality Indicators,Family Planning/Natality Indicators,8733,37869,Rate,76.9,2012,2014,42.122015,-75.933191
Capital Region,Family Planning/Natality Indicators,Family Planning/Natality Indicators,40014,184942,Rate,72.1,2012,2014,NA,NA
Cattaraugus,Family Planning/Natality Indicators,Family Planning/Natality Indicators,3274,14000,Rate,78,2012,2014,42.224267,-78.606673
Cayuga,Family Planning/Natality Indicators,Family Planning/Natality Indicators,2789,13480,Rate,69,2012,2014,42.940095,-76.560755
Central NY,Family Planning/Natality Indicators,Family Planning/Natality Indicators,42403,196962,Rate,71.8,2012,2014,NA,NA
Chautauqua,Family Planning/Natality Indicators,Family Planning/Natality Indicators,5058,23914,Rate,70.5,2012,2014,42.246904,-79.315313
Chemung,Family Planning/Natality Indicators,Family Planning/Natality Indicators,3900,15615,Rate,83.3,2012,2014,42.116644,-76.812331
Chenango,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1968,8352,Rate,78.5,2012,2014,42.481798,-75.570013
Clinton,Family Planning/Natality Indicators,Family Planning/Natality Indicators,2773,15747,Rate,58.7,2012,2014,44.731944,-73.548883
Columbia,Family Planning/Natality Indicators,Family Planning/Natality Indicators,2062,9798,Rate,70.2,2012,2014,42.276913,-73.682168
Cortland,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1737,10952,Rate,52.9,2012,2014,42.597101,-76.143291
Delaware,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1510,7548,Rate,66.7,2012,2014,42.242972,-74.997944
Dutchess,Family Planning/Natality Indicators,Family Planning/Natality Indicators,10597,55976,Rate,63.1,2012,2014,41.686216,-73.840468
Erie,Family Planning/Natality Indicators,Family Planning/Natality Indicators,40611,176988,Rate,76.5,2012,2014,42.888143,-78.795544
Essex/Hamilton,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1190,6452,Rate,61.5,2012,2014,NA,NA
Finger Lakes,Family Planning/Natality Indicators,Family Planning/Natality Indicators,52723,244833,Rate,71.8,2012,2014,NA,NA
Franklin,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1773,8293,Rate,71.3,2012,2014,44.705699,-74.340621
Fulton,Family Planning/Natality Indicators,Family Planning/Natality Indicators,2039,9580,Rate,70.9,2012,2014,43.06014,-74.331296
Genesee,Family Planning/Natality Indicators,Family Planning/Natality Indicators,2155,10469,Rate,68.6,2012,2014,43.000121,-78.172679
Greene,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1563,7452,Rate,69.9,2012,2014,42.298326,-73.973376
Hamilton/Essex,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1190,6452,Rate,61.5,2012,2014,NA,NA
Herkimer,Family Planning/Natality Indicators,Family Planning/Natality Indicators,2435,11226,Rate,72.3,2012,2014,43.070026,-74.994246
Jefferson,Family Planning/Natality Indicators,Family Planning/Natality Indicators,7514,23687,Rate,105.7,2012,2014,44.019295,-75.898971
Kings,Family Planning/Natality Indicators,Family Planning/Natality Indicators,198488,599736,Rate,110.3,2012,2014,40.65642,-73.950691
Lewis,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1121,4669,Rate,80,2012,2014,43.785537,-75.446296
Livingston,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1887,12642,Rate,49.8,2012,2014,42.763754,-77.765392
Long Island,Family Planning/Natality Indicators,Family Planning/Natality Indicators,113605,525579,Rate,72.1,2012,2014,NA,NA
Madison,Family Planning/Natality Indicators,Family Planning/Natality Indicators,2405,14040,Rate,57.1,2012,2014,42.986917,-75.720031
Mid-Hudson,Family Planning/Natality Indicators,Family Planning/Natality Indicators,98640,430494,Rate,76.4,2012,2014,NA,NA
Mohawk Valley,Family Planning/Natality Indicators,Family Planning/Natality Indicators,9842,48054,Rate,68.3,2012,2014,NA,NA
Monroe,Family Planning/Natality Indicators,Family Planning/Natality Indicators,32772,150756,Rate,72.5,2012,2014,43.161748,-77.620143
Montgomery,Family Planning/Natality Indicators,Family Planning/Natality Indicators,2324,8979,Rate,86.3,2012,2014,42.933637,-74.341972
Nassau,Family Planning/Natality Indicators,Family Planning/Natality Indicators,53950,247644,Rate,72.6,2012,2014,40.715749,-73.601185
New York,Family Planning/Natality Indicators,Family Planning/Natality Indicators,99006,419293,Rate,78.7,2012,2014,40.726966,-74.005966
New York City,Family Planning/Natality Indicators,Family Planning/Natality Indicators,586331,1928910,Rate,101.3,2012,2014,NA,NA
New York State,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1048285,4038876,Rate,86.5,2012,2014,NA,NA
Niagara,Family Planning/Natality Indicators,Family Planning/Natality Indicators,8506,38797,Rate,73.1,2012,2014,43.134634,-78.856419
North Country,Family Planning/Natality Indicators,Family Planning/Natality Indicators,10201,52070,Rate,65.3,2012,2014,NA,NA
Oneida,Family Planning/Natality Indicators,Family Planning/Natality Indicators,10124,41769,Rate,80.8,2012,2014,43.149482,-75.361773
Onondaga,Family Planning/Natality Indicators,Family Planning/Natality Indicators,20681,93277,Rate,73.9,2012,2014,43.065629,-76.168033
Ontario,Family Planning/Natality Indicators,Family Planning/Natality Indicators,3829,19305,Rate,66.1,2012,2014,42.894571,-77.252045
Orange,Family Planning/Natality Indicators,Family Planning/Natality Indicators,18954,70674,Rate,89.4,2012,2014,41.422459,-74.241929
Orleans,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1412,7756,Rate,60.7,2012,2014,43.248394,-78.218438
Oswego,Family Planning/Natality Indicators,Family Planning/Natality Indicators,4667,23444,Rate,66.4,2012,2014,43.39123,-76.31133
Otsego,Family Planning/Natality Indicators,Family Planning/Natality Indicators,2034,12619,Rate,53.7,2012,2014,42.564852,-75.060334
Putnam,Family Planning/Natality Indicators,Family Planning/Natality Indicators,2827,17157,Rate,54.9,2012,2014,41.41131,-73.717443
Queens,Family Planning/Natality Indicators,Family Planning/Natality Indicators,143744,494219,Rate,97,2012,2014,40.749338,-73.789673
Rensselaer,Family Planning/Natality Indicators,Family Planning/Natality Indicators,6662,30970,Rate,71.7,2012,2014,42.70098,-73.628669
Richmond,Family Planning/Natality Indicators,Family Planning/Natality Indicators,23619,93628,Rate,84.1,2012,2014,40.566763,-74.148102
Rockland,Family Planning/Natality Indicators,Family Planning/Natality Indicators,15893,58369,Rate,90.8,2012,2014,41.127287,-74.017033
Saratoga,Family Planning/Natality Indicators,Family Planning/Natality Indicators,8134,41215,Rate,65.8,2012,2014,43.00894,-73.786779
Schenectady,Family Planning/Natality Indicators,Family Planning/Natality Indicators,8300,29783,Rate,92.9,2012,2014,42.809233,-73.946838
Schoharie,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1010,5650,Rate,59.6,2012,2014,42.643426,-74.434606
Schuyler,Family Planning/Natality Indicators,Family Planning/Natality Indicators,620,3023,Rate,68.4,2012,2014,42.38593,-76.872032
Seneca,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1331,5770,Rate,76.9,2012,2014,42.833627,-76.82753
Southern Tier,Family Planning/Natality Indicators,Family Planning/Natality Indicators,17684,89415,Rate,65.9,2012,2014,NA,NA
St. Lawrence,Family Planning/Natality Indicators,Family Planning/Natality Indicators,4151,21563,Rate,64.2,2012,2014,44.689468,-75.242045
Steuben,Family Planning/Natality Indicators,Family Planning/Natality Indicators,3983,17222,Rate,77.1,2012,2014,42.270053,-77.324618
Suffolk,Family Planning/Natality Indicators,Family Planning/Natality Indicators,59655,277936,Rate,71.5,2012,2014,40.820237,-73.119032
Sullivan,Family Planning/Natality Indicators,Family Planning/Natality Indicators,3466,13017,Rate,88.8,2012,2014,41.705166,-74.711705
Tioga,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1840,8336,Rate,73.6,2012,2014,42.120252,-76.29595
Tompkins,Family Planning/Natality Indicators,Family Planning/Natality Indicators,3633,27310,Rate,44.3,2012,2014,42.461024,-76.478784
Tug Hill Seaway,Family Planning/Natality Indicators,Family Planning/Natality Indicators,12786,49918,Rate,85.4,2012,2014,NA,NA
Ulster,Family Planning/Natality Indicators,Family Planning/Natality Indicators,6501,32792,Rate,66.1,2012,2014,41.848374,-74.099412
Warren,Family Planning/Natality Indicators,Family Planning/Natality Indicators,2234,11139,Rate,66.9,2012,2014,43.403024,-73.716044
Washington,Family Planning/Natality Indicators,Family Planning/Natality Indicators,2231,10439,Rate,71.2,2012,2014,43.289513,-73.454761
Wayne,Family Planning/Natality Indicators,Family Planning/Natality Indicators,3370,15927,Rate,70.5,2012,2014,43.144336,-77.117995
Westchester,Family Planning/Natality Indicators,Family Planning/Natality Indicators,40402,182509,Rate,73.8,2012,2014,41.039278,-73.805386
Western NY,Family Planning/Natality Indicators,Family Planning/Natality Indicators,64056,287698,Rate,74.2,2012,2014,NA,NA
Wyoming,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1304,6587,Rate,66,2012,2014,42.723641,-78.204473
Yates,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1031,4573,Rate,75.2,2012,2014,42.634338,-77.078311
Albany,Family Planning/Natality Indicators,Family Planning/Natality Indicators,15,8281,Rate,0.6,2012,2014,42.678066,-73.814233
Allegany,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1,1439,Rate,0.2,2012,2014,42.226801,-78.020567
Bronx,Family Planning/Natality Indicators,Family Planning/Natality Indicators,271,48209,Rate,1.9,2012,2014,40.85589,-73.868294
Broome,Family Planning/Natality Indicators,Family Planning/Natality Indicators,13,5472,Rate,0.8,2012,2014,42.122015,-75.933191
Capital Region,Family Planning/Natality Indicators,Family Planning/Natality Indicators,40,27553,Rate,0.5,2012,2014,NA,NA
Cattaraugus,Family Planning/Natality Indicators,Family Planning/Natality Indicators,6,2448,Rate,0.8,2012,2014,42.224267,-78.606673
Cayuga,Family Planning/Natality Indicators,Family Planning/Natality Indicators,2,2380,Rate,0.3,2012,2014,42.940095,-76.560755
Central NY,Family Planning/Natality Indicators,Family Planning/Natality Indicators,65,31072,Rate,0.7,2012,2014,NA,NA
Chautauqua,Family Planning/Natality Indicators,Family Planning/Natality Indicators,5,3926,Rate,0.4,2012,2014,42.246904,-79.315313
Chemung,Family Planning/Natality Indicators,Family Planning/Natality Indicators,6,2723,Rate,0.7,2012,2014,42.116644,-76.812331
Chenango,Family Planning/Natality Indicators,Family Planning/Natality Indicators,3,1601,Rate,0.6,2012,2014,42.481798,-75.570013
Clinton,Family Planning/Natality Indicators,Family Planning/Natality Indicators,3,2034,Rate,0.5,2012,2014,44.731944,-73.548883
Columbia,Family Planning/Natality Indicators,Family Planning/Natality Indicators,2,1682,Rate,0.4,2012,2014,42.276913,-73.682168
Cortland,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1,1356,Rate,0.2,2012,2014,42.597101,-76.143291
Delaware,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1,1188,Rate,0.3,2012,2014,42.242972,-74.997944
Dutchess,Family Planning/Natality Indicators,Family Planning/Natality Indicators,10,9076,Rate,0.4,2012,2014,41.686216,-73.840468
Erie,Family Planning/Natality Indicators,Family Planning/Natality Indicators,82,27453,Rate,1,2012,2014,42.888143,-78.795544
Essex/Hamilton,Family Planning/Natality Indicators,Family Planning/Natality Indicators,2,1076,Rate,0.6,2012,2014,NA,NA
Finger Lakes,Family Planning/Natality Indicators,Family Planning/Natality Indicators,96,39132,Rate,0.8,2012,2014,NA,NA
Franklin,Family Planning/Natality Indicators,Family Planning/Natality Indicators,0,1382,Rate,0,2012,2014,44.705699,-74.340621
Fulton,Family Planning/Natality Indicators,Family Planning/Natality Indicators,2,1672,Rate,0.4,2012,2014,43.06014,-74.331296
Genesee,Family Planning/Natality Indicators,Family Planning/Natality Indicators,2,1768,Rate,0.4,2012,2014,43.000121,-78.172679
Greene,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1,1245,Rate,0.3,2012,2014,42.298326,-73.973376
Hamilton/Essex,Family Planning/Natality Indicators,Family Planning/Natality Indicators,2,1076,Rate,0.6,2012,2014,NA,NA
Herkimer,Family Planning/Natality Indicators,Family Planning/Natality Indicators,3,1921,Rate,0.5,2012,2014,43.070026,-74.994246
Jefferson,Family Planning/Natality Indicators,Family Planning/Natality Indicators,6,3607,Rate,0.6,2012,2014,44.019295,-75.898971
Kings,Family Planning/Natality Indicators,Family Planning/Natality Indicators,271,75900,Rate,1.2,2012,2014,40.65642,-73.950691
Lewis,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1,919,Rate,0.4,2012,2014,43.785537,-75.446296
Livingston,Family Planning/Natality Indicators,Family Planning/Natality Indicators,0,1764,Rate,0,2012,2014,42.763754,-77.765392
Long Island,Family Planning/Natality Indicators,Family Planning/Natality Indicators,90,92912,Rate,0.3,2012,2014,NA,NA
Madison,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1,2223,Rate,0.1,2012,2014,42.986917,-75.720031
Mid-Hudson,Family Planning/Natality Indicators,Family Planning/Natality Indicators,95,77156,Rate,0.4,2012,2014,NA,NA
Mohawk Valley,Family Planning/Natality Indicators,Family Planning/Natality Indicators,11,7573,Rate,0.5,2012,2014,NA,NA
Monroe,Family Planning/Natality Indicators,Family Planning/Natality Indicators,74,22787,Rate,1.1,2012,2014,43.161748,-77.620143
Montgomery,Family Planning/Natality Indicators,Family Planning/Natality Indicators,6,1578,Rate,1.3,2012,2014,42.933637,-74.341972
Nassau,Family Planning/Natality Indicators,Family Planning/Natality Indicators,31,43380,Rate,0.2,2012,2014,40.715749,-73.601185
New York,Family Planning/Natality Indicators,Family Planning/Natality Indicators,116,28446,Rate,1.4,2012,2014,40.726966,-74.005966
New York City,Family Planning/Natality Indicators,Family Planning/Natality Indicators,864,227729,Rate,1.3,2012,2014,NA,NA
New York State,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1417,576760,Rate,0.8,2012,2014,NA,NA
Niagara,Family Planning/Natality Indicators,Family Planning/Natality Indicators,12,6336,Rate,0.6,2012,2014,43.134634,-78.856419
North Country,Family Planning/Natality Indicators,Family Planning/Natality Indicators,13,8041,Rate,0.5,2012,2014,NA,NA
Oneida,Family Planning/Natality Indicators,Family Planning/Natality Indicators,15,6816,Rate,0.7,2012,2014,43.149482,-75.361773
Onondaga,Family Planning/Natality Indicators,Family Planning/Natality Indicators,41,14587,Rate,0.9,2012,2014,43.065629,-76.168033
Ontario,Family Planning/Natality Indicators,Family Planning/Natality Indicators,5,3345,Rate,0.5,2012,2014,42.894571,-77.252045
Orange,Family Planning/Natality Indicators,Family Planning/Natality Indicators,18,13838,Rate,0.4,2012,2014,41.422459,-74.241929
Orleans,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1,1298,Rate,0.3,2012,2014,43.248394,-78.218438
Oswego,Family Planning/Natality Indicators,Family Planning/Natality Indicators,5,3711,Rate,0.4,2012,2014,43.39123,-76.31133
Otsego,Family Planning/Natality Indicators,Family Planning/Natality Indicators,0,1507,Rate,0,2012,2014,42.564852,-75.060334
Putnam,Family Planning/Natality Indicators,Family Planning/Natality Indicators,1,3376,Rate,0.1,2012,2014,41.41131,-73.717443
Queens,Family Planning/Natality Indicators,Family Planning/Natality Indicators,174,60536,Rate,1,2012,2014,40.749338,-73.789673
Rensselaer,Family Planning/Natality Indicators,Family Planning/Natality Indicators,9,4585,Rate,0.7,2012,2014,42.70098,-73.628669
Richmond,Family Planning/Natality Indicators,Family Planning/Natality Indicators,32,14638,Rate,0.7,2012,2014,40.566763,-74.148102
Rockland,Family Planning/Natality Indicators,Family Planning/Natality Indicators,8,12085,Rate,0.2,2012,2014,41.127287,-74.017033
Saratoga,Family Planning/Natality Indicators,Family Planning/Natality Indicators,3,6959,Rate,0.1,2012,2014,43.00894,-73.786779
Schenectady,Family Planning/Natality Indicators,Family Planning/Natality Indicators,10,4801,Rate,0.7,2012,2014,42.809233,-73.946838
Schoharie,Family Planning/Natality Indicators,Family Planning/Natality Indicators,0,895,Rate,0,2012,2014,42.643426,-74.434606
Schuyler,Family Planning/Natality Indicators,Family Planning/Natality Indicators,0,543,Rate,0,2012,2014,42.38593,-76.872032
Seneca,Family Planning/Natality Indicators,Family Planning/Natality Indicators,0,991,Rate,0,2012,2014,42.833627,-76.82753
Southern Tier,Family Planning/Natality Indicators,Family Planning/Natality Indicators,24,11981,Rate,0.7,2012,2014,NA,NA
St. Lawrence,Family Planning/Natality Indicators,Family Planning/Natality Indicators,3,3237,Rate,0.3,2012,2014,44.689468,-75.242045
Steuben,Family Planning/Natality Indicators,Family Planning/Natality Indicators,8,3159,Rate,0.8,2012,2014,42.270053,-77.324618
Suffolk,Family Planning/Natality Indicators,Family Planning/Natality Indicators,59,49531,Rate,0.4,2012,2014,40.820237,-73.119032
Sullivan,Family Planning/Natality Indicators,Family Planning/Natality Indicators,6,2237,Rate,0.9,2012,2014,41.705166,-74.711705
Tioga,Family Planning/Natality Indicators,Family Planning/Natality Indicators,2,1632,Rate,0.4,2012,2014,42.120252,-76.29595
Tompkins,Family Planning/Natality Indicators,Family Planning/Natality Indicators,5,2088,Rate,0.8,2012,2014,42.461024,-76.478784
Tug Hill Seaway,Family Planning/Natality Indicators,Family Planning/Natality Indicators,10,7762,Rate,0.4,2012,2014,NA,NA
Ulster,Family Planning/Natality Indicators,Family Planning/Natality Indicators,8,4881,Rate,0.5,2012,2014,41.848374,-74.099412
Warren,Family Planning/Natality Indicators,Family Planning/Natality Indicators,2,1768,Rate,0.4,2012,2014,43.403024,-73.716044
Washington,Family Planning/Natality Indicators,Family Planning/Natality Indicators,6,1782,Rate,1.1,2012,2014,43.289513,-73.454761
Wayne,Family Planning/Natality Indicators,Family Planning/Natality Indicators,2,3054,Rate,0.2,2012,2014,43.144336,-77.117995
Westchester,Family Planning/Natality Indicators,Family Planning/Natality Indicators,44,31664,Rate,0.5,2012,2014,41.039278,-73.805386
Western NY,Family Planning/Natality Indicators,Family Planning/Natality Indicators,109,45848,Rate,0.8,2012,2014,NA,NA
